Urhobo,English
Obọ……………………….,Hand
Ochẹ………………………Clay,water storage pot
Oda…………………….…,Cutlass
Odjadja………………….,; Painful experience
Odjuvwu………………….,Heaven
Ofe…………………………Yam,beetle
Ofia……………………,Lie
Ogaga……………………,Strength
ógba…………………………,Fence
Ogba…………………………,seed
Ogbo………………………….,;Python
Ogbru………………………….The,big wrapper dress cloth
Ogidi………………………,; Rowdiness
Ogiribo………………………,.Storm
Ojuvwu………………….,Heaven
Óka……………………………,Mark
Okẹ……………………………,Gift
Oko………………………..,Friend
ókpa………………………,thick locally woven cloth
Òkpé…̣,Stingy ; Miserly
kpẹ…………………….,dialect of Urhobo language
Okpitẹ…………………………….,person who speaks in proverbs
Okri………………………….,goat
Óma……………………….,Statue
Ona…………,finding ; Craftiness ;Shortcut art ; Trick
Ora………………………………,..Sore
Orẹ…………………………………………,Feast
Orhare……………………………………,Well
Orhirhi……………………………………,fish
Orho,Town ; City
Orhua……………………………………,Deer
Orhuẹ…………………………………..,Hunter
Orhuẹre,A species of catfish
Órí…………………………………………Processed,starch meal
Oro………………………………………..,Gold
Oruru…………………………………….Cotton,thread
Osa……………………………………….,Debt
Ósa……………………………Rectangular,basket for loads
Osio……………………………………..,………….Rain
Osu……………………………………..,; Governor
Ota………………………………………,………….Speech
Owọ…………………………………,…………..Leg
Ọbara…………………………………………,Blood
Ọbo,Native doctor
Ọdafe…………………………………………,person
Ọdọ…………………………………………..,larva
Ọfẹ…………………………………………….,Tilapia
Ọfigbo……………………………………….,oil
Ọgá……………………………………………,Master
……………………………..,track
gà……………………………………………,; Disease
Ọgọrọ………………………………………Palm,wine
Ọka…………………………………………,Corn
Ọke,Period of time
Ọko…………………………………………..,parcel ; Present
Ọkó…………………………………………….,Village
Ọkpako…………………………………..Older,; More elderly
Ọkpó…̣,species of the lizard
Ọkpó…̣,; Walking stick
Óḳ,sake
Ọmọhọ…………………………………….,chick
Ọmọphra…………………………………,Bird
Ọmọshare,Boy ; Son
Ọmọtẹ………………………………………,; Daughter
Ọpuọpuọ…………………………………,; Stinging ray fish
Ọre………………………………………….,Sun
Ọrhare……………………………………..,bachelor ;Male
without,means to
afford,marriage patner.
Ọrharha………………………………….,Stranger
Ọrigbo…………………….,leaf ;Bitter leaf plant
Ọrọdekọ………………………………,Snake
Ọso………………………………,Hawk
Patiẹn…………,; Deflated ; ( Evu patiẹn = Flat tummy)
Pẹtẹpẹtẹ……(adj),and soft ; Word describes
wetness,"dryness e.g. of gari,"
"Soil,",of water on surface etc.
Piẹ̃piẹ̃……(adj),forming ; Young ; immature ;unripe.
Word,describes how young/immature
eg,piẹpiẹ = Unripe ; Undeveloped.
Piọpiọpiọ……(adj),and sharp e.g. nail
Prarara……..(adj),the sudden and forceful
gushing,of blood or liquid.
of,fallen down from a tree.
Phaphọ………………………,it
Phavwẹ……………………….,me
Phẹghẹphẹghẹ……………..,; not thick
Phihọ………………………….Add,it
Phọphọ……………………….,him/her
Phoro…………………………..,Erase
Phio…………………………….Stone,it
Phiọ…………………………….,it. Make it straight
Ra,Go there
Rara………………………….,e.g. snails crawl
Rare…………………………..,Use of Finger or Tongue
to,food like a dog
Rẹ……………………………..,Beg
Riemu……………………….,food
Riẹre………………………...,Knows
Riẹriẹ…………………………,him/her
Riọ́…………………………….,it
Riọ̀…………………,up e.g. when opening soda can
Ririe…………………………..,it ; Wipe up ; Wipe
Rọ………………………………,; Swallow it
Roro……………………………,; Think about it
Ru………………………………,Do
Ruiruo………………………...,Work
Ruo…………………………….,it
Ruọ……………………………,inside
Rhá………………….,; Loosen ; Un-tangle ; Un-do knot
Rhà……………………...,Fly
Rhare…(rharọ)……...,; Plaster ;Smoothen
Rharhọ,Bore a hole in it
Rhariẹ……………,;Hurt an existing sore/pain
Rhẹrẹ………………….,; Spying on
Rhẹrhẹ………………..,Swim
Rhẹriẹ…………………,; Turn around ;Turn it over.
Rhẹrioma…………….Change,position ; Turn a
different,; Lie face up.
Rhiọ……………………Start,; Wake up early to begin
Rhiri………………….,a long time
Rhirirhìrì……………,Forever.
Rho……………,; Not totally done ; Preservative
partial,e.g. fresh meat or fish.
Rhoma,Say it again ; Repeat what you said
Rhorha……………………….,Hot
Rhuẹrẹ……………..,; Fix ; Make it better
Rhuo………….,e.g. as when weaving a basket.
Rhuo……………….,on your fashion gear ; Dress up.
Rhurho……………,it e.g. Cover a pot
Rhurie………………,; uncontrollable population
Movement,unstoppable event.
Sa…………………………,Shoot
Sasa…………………….,; Healthy and well ; Smart
Sẹ……………………….,fashionably
Se……………………….,Call
Sen…………………….,; Refuse ; Say “no”
Si……………………..,Write
Siọ……………………….Reject,outright
Sio………………………,it
Sio………………………,(towards self )
Siomanu………………,Hide
Sobọ…………………..,hands ; Shake my hand
Su……………………..,; Rule ; Lead
Suine…………….,a song
She……………………………………,Fall
Shesheri……………………………,far
Sherhẹ………………………,down
Shiguẹ……………,with the knees bent ; Kneel down
Shoma……………………………….,one’s self
Shọrọ……………………………….,Crawl
Ta…………………,mild condemnation ; Blame or curse
Takẹ……………….,him/her
ẹ………….,Famous ; Popular
Tọ…………………..,long
Tó…̣,Dig it e.g. a pit or hole
Tó…̣,it e.g. Gari
Tọrọ…………………Pick,Pick it
Toro…………………,Contribute
Tota…………………Speak,Talk
Tua………………….,him/her /it
Tuato……………Chew,your chewing stick
Tuatua……………,and fearful
Tue……………,it off e.g. cloth that falls on dirt
Tuọ…………………,it
Ubeku………………………..,Bone
Ubi……………………………..,; Knot
Ubiako……………………..,Tooth
Uchuhru…………………….,Stump
Uchuru…………..,of animal husbandary ;
raised,and animals for food
Udidẹ……………………….,Earthworm
Udi……………………………,Liquor
Údi…………………………..,cutter
Udju…………………………,Farm
Udu…………………………,Chest
Ufi…………………………,Trap
Ufi………………………..,( also called uruhrẹ )
Ufo…………,that a person does for someone
as,for the help that he had
earlier,from that individual.
Ufuna,Bamboo-made cigarette pipe
Ufuoma……………………….,; A state of serenity.
Ugbakara………………….,Ladder
Ugbenu………………………,Hill
Ugbidu……………………..,farm
Ugbudia…………………….,tail ; Ox tail
Ugbunu…………………….,Mouth
Ughẹghẹ…………………,Foolishness
Uji…………………………..,; Thievery (Oji=Thieve)
Ujori……………………….,hundred
Ujuvẹ…………………….,Forty
Ukiri………………………,Drum
Ukodo…………………..,Porridge
Úkóko………………….,; Association
Ukoko…………………..,pipe
Ukoro…………………..,tusk bangle
Ukpokpo……,; Any object thrown at a target.
Ukpono………………………,Cripple
Ukuta…………………..,Stone
Umẹ……………………,Committee
Une………………………,Song
Unu……………………..,; mouth
Unuebo…………,: to express surprise or for help
Upho……………………,Throat
Uri……………………….,hundred
Uroko…………………..,mile
Urhe…………………….,Tree
Urhi…………………….,Law
Urhiabọ………………,Finger
Urhiawọ……………..,Toe
Urhie…………………..,Sea/river/ocean
Urhiẹ……………………,Line
Urhuẹ…………………,of abode
Urhurhu………………,Tail
Urhuru……………….,Voice
Uri……………………..,hundred
Uriri……………………,Glory
Uruemu………………,; Behavior
ruhrẹ……………..,; Cord ; Stem of some
Ushurhe…………….,Axe
Usí……………………..,Starch
Usi……………………..,Popularity
Úsi……………………,Line
Usiamé……………,fetching rope
Usiavwrẹ…………,Key
Utiẹn………………,Orange
Utitẹ………………..,; Stamp & seal in Notary
…………….,Hut
Utuoma…………….,Hatred
Ututa………………,Onion
Uvworo………,Feather
Uyonta,…………Truth
Uyonvwi………,Head
Va………,; Skin an animal ; Split e.g. kola nut
Va………,loud
Vame….,water
Haggle,price e.g. asking for a lower price
Vẹn…….,it
Viẹ…….,; Cry ; Grief
Vie……..,e.g. A child sucks the mother’s breast
Vie…………….,than ( vie we = older than you )
Vievie…………,breast
Vo………………,e.g. water
Vọ……………..,Full
Vuẹ……………,him/her
Vuo……………,; Harvest
Vurho…………,organized competition to acquire ;
Scramble,; un-healthy competition
Vuvwo…………,; Preserve by drying .
Vrẹ,Get up
Vrẹ,Stand up
Vwarhe………………………….,Struggle
Vwariẹ́………………………….,it
Vwavwó…̣,Measure it
Vwẹ…………………………….,Urinate
Vwiẹ……………………………,e.g. baby ; Bear a child
Vwẹghẹvwẹghẹ…………,thin and flat ; Not thick
Vwerhe………………………,Sweet
Vwerhẹ……………………..,Sleep
Vwẹriẹ……………………..,by ; Branch (while going on)
Vwirhi………………………Break,separate into two more pieces
Vwio…………………,missiles at a target ; Stoning .
Vwo……………………….,…….Jump
Vwó……………………..,Own ; Own it = Vwóró
Vworho…………,………Sift it
Vworó…………..,…Erase it
Vworovworo………..,…….Smooth
Vwovwo………Blow,wood or charcoal fire with the mouth
Vwrovwro…Unhealthy,; Fierce rivalry ; Jealousy
Wado…………………………………..,to you all
Wẹ……………………………………….,You
Wẹwẹ………………………………….,Yourself
Wian…………………………………….,the work
Wiowian………………………………,Work
Wonro……………………,out e.g. seeds from bunches of fruits
Wran……………………………………,; Liquefy ; Heat solidified oil
back,its liquid form.
Yan……………………………..,Walk
Yanra………...................,away
Yanrhe………………………..,Come
Yare……………………………,Bitter
Yare…………………………..Borrow,Beg for your need
Yerakpọ…………………….,your life
Yere……………………………,him/her
Yẹrẹ………………………….,Or
Yeri……………………………,Climb
Yoma………………………….,Boast
Yõma………………………….,Good
Yon…………………………….,Hear
Yorho…………………………,"water with a bucket,"
basin,by mechanical means.
Yoro…………………………..Pull,; Pull off
Yọrọ………………………,it
Yonvwe……………………Hear,me
Ze…………………………………….,( for a god )
Zighizighi………………………….,; Disorganized
Ziọziọ,Sluggish
Zọrọkọ…………………………….,adjective describing how tall and .
beautiful,person is. e.g Aye na vwa
zọrọkọ=,woman is tall and beautiful.
