Urhobo,English
vrẹ,get up
vrẹ,stand up
vwarhe,struggle
vwarié,it
vwavwó,measure it
vwẹ,urinate
vwiẹ,eg baby bear a child
vwẹghẹvwẹghẹ,thin and flat not thick
vwerhe,sweet
vwerhẹ,sleep
vwẹriẹ,by branch while going on
vwirhibreak,separate into two more pieces
vwio,missiles at a target stoning 
vwo,jump
vwó,own own it vwóró
vworho,sift it
vworó,erase it
vworovworo,smooth
vwovwoblow,wood or charcoal fire with the mouth
vwrovwrounhealthy, fierce rivalry jealousy
wado,to you all
wẹ,you
wẹwẹ,yourself
wian,the work
wiowian,work
wonro,out eg seeds from bunches of fruits
wran, liquefy heat solidified oil
back,its liquid form
yan,walk
yanra,away
yanrhe,come
yare,bitter
yareborrow,beg for your need
yerakpọ,your life
yere,himher
yẹrẹ,or
yeri,climb
yoma,boast
yõma,good
yon,hear
yorho,water with a bucket
basin,by mechanical means
yoropull, pull off
yọrọ,it
yonvwehear,me
ze, for a god 
zighizighi, disorganized
ziọziọ,sluggish
zọrọkọ,adjective describing how tall and 
beautiful,person is eg aye na vwa
zọrọkọ,woman is tall and beautiful
